Data Lanc.,Data Valor,Descrição,Valor,Saldo
01/10/2024,30/09/2024,CRED. 3799 DECATHLON BRAGA BRAGA PT,8.9,396.72
01/10/2024,01/10/2024,COMPRA 3799 ESCALA PQ P2 CPA 2 BRAG CONTACTLESS,-3.1,393.62
01/10/2024,01/10/2024,COMPRA 3799 ESCALA PQ P2 CPA 2 BRAG CONTACTLESS,-2.4,391.22
01/10/2024,01/10/2024,"COMPRA 3799 EST SERVICO ILIDIO MOTA, LDA. PALME",-57.12,334.1
01/10/2024,01/10/2024,COMPRA 7341 CRONICA DO FUTURO VILA  CONTACTLESS,-21.84,312.26
01/10/2024,01/10/2024,PAG BXVAL- 3799 VIAVERDE,-6.53,305.73
02/10/2024,02/10/2024,COMPRA 7341 MERCADONA REAL,-42.2,263.53
03/10/2024,03/10/2024,DD PT41104147 MUNICIPIO DE AM 20001463303,-16.8,246.73
04/10/2024,04/10/2024,TRF. P/O  JOANA ISABEL RODRIGUES CERQ,800.00,1046.73
04/10/2024,04/10/2024,TRF. P/O  HUGO DANIEL PINTO MOTA,"1,000.00",2046.73
07/10/2024,07/10/2024,LEV ATM 7341 CCAM  AMARES        Cafe AO QUADRA,-40.00,2006.73
07/10/2024,07/10/2024,TRF MB WAY P/ *****6595,-45.5,1961.23
07/10/2024,07/10/2024,TRF MB WAY P/ *****6595,-22.8,1938.43
07/10/2024,07/10/2024,TRF MB WAY P/ *****6595,-26.8,1911.63
07/10/2024,07/10/2024,TRF MB WAY P/ *****6595,-142.00,1769.63
08/10/2024,08/10/2024,COMPRA 3799 LIDL AGRADECE 4730-752  CONTACTLESS,-33.49,1736.14
14/10/2024,14/10/2024,TRF MB WAY P/ *****1195,-25.00,1711.14
14/10/2024,14/10/2024,TRF MB WAY P/ *****1195,-31.25,1679.89
14/10/2024,14/10/2024,LEV ATM 3799 BCP   VILA VERDE    Praca Republic,-200.00,1479.89
14/10/2024,14/10/2024,TRF MB WAY P/ *****9970,-15.00,1464.89
14/10/2024,14/10/2024,COMPRA 7341 STOCK CAR SILVARES GUIMARAES,-15.99,1448.9
14/10/2024,14/10/2024,"PAG SERV 21426/016728508 ALTICE PAY, S.A.",-55.66,1393.24
15/10/2024,15/10/2024,COMPRA 3799 RECANTO DA MINHOTA AMAR CONTACTLESS,-34.7,1358.54
15/10/2024,15/10/2024,TRF P/ BANKINTER CONTA DO CREDITO,"-1,000.00",358.54
15/10/2024,15/10/2024,COMPRA 7341 CLIN MED CIR ST TECL4715-018 BRAGA,-19.00,339.54
