Data Lanc.,Data Valor,Descrição,Valor,Saldo
03/06/2024,03/06/2024,TRF MB WAY DE ENG HUGO MOTA,400.00,402.22
03/06/2024,03/06/2024,PAG BXVAL- 3799 VIAVERDE,-6.48,395.74
04/06/2024,04/06/2024,TRF MB WAY P/ *****8301,-15.55,380.19
04/06/2024,04/06/2024,TRF MB WAY P/ *****1195,-25.00,355.19
04/06/2024,04/06/2024,DD PT41104147 MUNICIPIO DE AM 20001463303,-16.18,339.01
04/06/2024,04/06/2024,TRF. P/O  HUGO DANIEL PINTO MOTA,"1,000.00",1339.01
06/06/2024,06/06/2024,COMPRA 3799 NORSIDER.PT TROFA,-97.8,1241.21
06/06/2024,06/06/2024,TRF. P/O  JOANA ISABEL RODRIGUES CERQ,800.00,2041.21
06/06/2024,06/06/2024,PAG BXVAL- 3799 VIAVERDE,-3.45,2037.76
07/06/2024,07/06/2024,TRF MB WAY P/ *****6371,-3.66,2034.1
07/06/2024,07/06/2024,"PAG SERV 21426/380029489 ALTICE PAY, S.A.",-52.74,1981.36
07/06/2024,07/06/2024,TRF MB WAY P/ *****1195,-31.25,1950.11
10/06/2024,10/06/2024,"PAG SERV 21404/173903770 GENERALI SEGUROS, SA",-175.12,1774.99
10/06/2024,10/06/2024,PAG BXVAL- 3799 VIAVERDE,-1.95,1773.04
11/06/2024,11/06/2024,"COMPRA 3799 PIC-NIC PRODU ES,SA POR CONTACTLESS",-14.00,1759.04
11/06/2024,11/06/2024,"COMPRA 3799 PIC-NIC PRODU ES,SA POR CONTACTLESS",-4.00,1755.04
11/06/2024,11/06/2024,COMPRA 3799 EST SERVICO POSTO 2 PALMEIRA PALMEI,-30.00,1725.04
11/06/2024,11/06/2024,COMPRA 3799 PARKIN MATOSINHOS MATOS CONTACTLESS,-5.00,1720.04
11/06/2024,11/06/2024,"COMPRA 3799 PIC-NIC PRODU ES,SA POR CONTACTLESS",-1.2,1718.84
11/06/2024,11/06/2024,"COMPRA 3799 PIC-NIC PRODU ES,SA POR CONTACTLESS",-2.2,1716.64
11/06/2024,11/06/2024,"COMPRA 3799 PIC-NIC PRODU ES,SA POR CONTACTLESS",-12.00,1704.64
11/06/2024,11/06/2024,COMPRA 3799 EST SERVICO PRIO ENERGY SA APARTADO,-9.00,1695.64
13/06/2024,13/06/2024,COMPRA 3799 EST SERVICO TOTAL LAGO LAGO PT,-4.5,1691.14
17/06/2024,17/06/2024,LEV ATM 7341 BPI   Ferreiros Amr Lg da Feira,-20.00,1671.14
17/06/2024,17/06/2024,TRF P/ BANKINTER CONTA DO CREDITO,"-1,000.00",671.14
17/06/2024,17/06/2024,PAG BXVAL- 3799 VIAVERDE,-22.85,648.29
18/06/2024,18/06/2024,COMPRA 3799 TABERNA BELGA SAO VICEN CONTACTLESS,-35.35,612.94
19/06/2024,19/06/2024,TRF MB WAY P/ *****1195,-25.00,587.94
19/06/2024,19/06/2024,TRF MB WAY P/ *****1195,-31.25,556.69
19/06/2024,19/06/2024,TRF MB WAY P/ *****8301,-18.9,537.79
20/06/2024,20/06/2024,DD PT67106686 GOLD ENERGY - C 00302213,-70.52,467.27
20/06/2024,20/06/2024,COMPRA 3799 SOARAUTO AMARES,-114.99,352.28
24/06/2024,22/06/2024,TRF MB WAY DE ENG HUGO MOTA,400.00,752.28
24/06/2024,24/06/2024,LEV ATM 3799 MG    PALMEIRA BRG  SGV - R Prof M,-200.00,552.28
24/06/2024,24/06/2024,LEV ATM 3799 MG    PALMEIRA BRG  SGV - R Prof M,-200.00,352.28
24/06/2024,24/06/2024,COMPRA 3799 J.P.L.R. - 1 4730-581 SOUTELO,-26.75,325.53
24/06/2024,24/06/2024,"DD PT73101243 MEO, SA         30329005452",-35.89,289.64
24/06/2024,24/06/2024,COMPRA 7341 HOMA BRAGA S VICENTE,-32.02,257.62
25/06/2024,25/06/2024,COMPRA 3799 EST SERVICO TOTAL LAGO LAGO PT,-9.00,248.62
26/06/2024,26/06/2024,"COMPRA 3799 EST SERVICO ILIDIO MOTA, LDA. PALME",-30.00,218.62
26/06/2024,26/06/2024,COMPRA 3799 AGROBRICMAT CAIRES PT   CONTACTLESS,-12.84,205.78
26/06/2024,26/06/2024,COMPRA 3799 NOSSO TALHO LAGO PT     CONTACTLESS,-2.16,203.62
28/06/2024,28/06/2024,COMPRA 3799 CONCEICAO LOPES PAD ANAIS,-4.6,199.02
28/06/2024,28/06/2024,COMPRA 3799 PINGO S TABACARIA VILA  CONTACTLESS,-9.00,190.02
28/06/2024,28/06/2024,COMPRA 3799 PAST CRISTO REI GUIMARA CONTACTLESS,-17.7,172.32
28/06/2024,28/06/2024,COMPRA 3799 MIRACORVO TALHOS SOUTEL CONTACTLESS,-33.27,139.05
01/07/2024,01/07/2024,COMPRA 3799 SOARAUTO AMARES,-15.01,124.04
01/07/2024,01/07/2024,PAG BXVAL- 3799 VIAVERDE,-3.73,120.31
02/07/2024,02/07/2024,COMPRA 3799 EST SERVICO Q8 PRADO VILA DE PRADOP,-30.00,90.31
02/07/2024,02/07/2024,"COMPRA 3799 AGROBRICMAT, LDA CAIRES CONTACTLESS",-6.15,84.16
02/07/2024,02/07/2024,COMPRA 3799 EST SERVICO TOTAL LAGO LAGO PT,-4.5,79.66
03/07/2024,03/07/2024,COMPRA 3799 EST SERVICO PRIO ENERGY SA APARTADO,-9.00,70.66
04/07/2024,04/07/2024,DD PT41104147 MUNICIPIO DE AM 20001463303,-15.44,55.22
04/07/2024,04/07/2024,TRF. P/O  HUGO DANIEL PINTO MOTA,"1,000.00",1055.22
04/07/2024,04/07/2024,TRF MB WAY P/ *****8301,-13.95,1041.27
05/07/2024,05/07/2024,COMPRA 3799 Tui -Puxeiros 12:38A CO CONTACTLESS,-3.2,1038.07
05/07/2024,05/07/2024,TRF. P/O  JOANA ISABEL RODRIGUES CERQ,800.00,1838.07
08/07/2024,08/07/2024,PAG BXVAL- 3799 VIAVERDE,-11.2,1826.87
09/07/2024,09/07/2024,COMPRA 3799 FORPRINT SEIA,-13.7,1813.17
11/07/2024,11/07/2024,COMPRA 3799 EST SERVICO POSTO 2 PALMEIRA PALMEI,-30.00,1783.17
15/07/2024,15/07/2024,COMPRA 7341 NOSSO TALHO LAGO,-13.32,1769.85
15/07/2024,15/07/2024,COMPRA 7341 CONTINENTE BRAGA BRAGA,-32.12,1737.73
15/07/2024,15/07/2024,TRF MB WAY P/ *****8301,-15.8,1721.93
15/07/2024,15/07/2024,TRF MB WAY P/ *****1195,-37.5,1684.43
15/07/2024,15/07/2024,COMPRA 7341 EST SERVICO TOTAL LAGO LAGO AMARES,-9.6,1674.83
15/07/2024,15/07/2024,TRF MB WAY P/ *****6595,-357.37,1317.46
15/07/2024,15/07/2024,TRF P/ BANKINTER CONTA DO CREDITO,"-1,000.00",317.46
15/07/2024,15/07/2024,TRF MB WAY P/ *****8744,-56.00,261.46
16/07/2024,16/07/2024,"PAG SERV 21426/707021426 ALTICE PAY, S.A.",-45.44,216.02
18/07/2024,18/07/2024,TRF MB WAY P/ *****8744,-35.00,181.02
22/07/2024,22/07/2024,COMPRA 7341 PINGO DOCE VILA VERDBEMPOSTA,-37.81,143.21
22/07/2024,22/07/2024,DD PT67106686 GOLD ENERGY - C 00302213,-74.39,68.82
22/07/2024,22/07/2024,COMPRA 7341 STOCK CAR SILVARES GUIMARAES,-15.99,52.83
22/07/2024,22/07/2024,COMPRA 3799 SOARAUTO AMARES,-15.84,36.99
23/07/2024,23/07/2024,"DD PT73101243 MEO, SA         30329005452",-35.89,1.1
26/07/2024,26/07/2024,TRF MB WAY DE ENG HUGO MOTA,300.00,301.1
26/07/2024,26/07/2024,TRF MB WAY P/ *****1195,-25.00,276.1
30/07/2024,30/07/2024,COMPRA 3799 EST SERVICO POSTO BP BRAGA PALME BR,-40.07,236.03
